Date,Time,N,T_clo,T_sur
19.05.2022,11:54,455,25.2,25.3
,12:00,502,25.1,25
,12:03,433,23.9,23.6
,12:06,234,24.3,24
,12:08,33,23.3,22.2
,13:05,234,25.2,25.2
,13:06,455,29.3,28.4
,13:06,502,24.6,24.7
,13:14,433,22.4,22
,13:16,33,23.7,23.7
,15:52,455,26.8,26.9
,15:54,502,27.8,27
,15:56,433,22.6,22.8
,15:57,234,22.8,22.4
,16:00,33,22.7,22.7
,17:12,455,32.8,33.3
,17:14,33,30.5,30.4
,17:15,502,26.1,26.1
,17:16,433,26.6,26.7
,17:19,234,28,28
20.05.22,11:12,433,18.8,17.5
,11:14,502,17.6,17.4
,11:18,234,17.7,16.7
,11:19,33,18.7,17.2
,11:20,455,18.5,17.7
,13:17,455,30.3,30
,13:21,33,20.2,19.8
,13:23,453,22.2,23
,13:24,234,19.7,19.5
,13:25,502,22.8,22.2
21.05,11:21,234,21.7,21.3
,11:22,433,24.5,23.6
,11:23,455,18.6,18.2
,11:24,502,19.7,19.5
,11:26,33,19.3,18.8
,12:10,433,20.3,20.2
,12:10,234,22.4,22
,12:11,502,22,22.2
,12:13,455,18.8,17.6
,12:14,33,19.5,18.8
,13:11,502,21.7,21.4
,13:16,433,21.3,20.9
,13:21,234,20.9,20.7
,13:22,33,20.2,20.2
,13:23,455,20.7,20.7
,14:28,433,22.6,22.5
,14:29,502,18.4,18.5
,14:31,234,20.9,20.6
,14:33,33,18.1,17.9
,14:41,433,19.6,19.2